TA,Key,Indication
Infectious Disease,capitis,Pediculosis capitis
Infectious Disease,Hepatitis,Unspecified Hepatitis
Infectious Disease,Fever,Dengue Fever
Male Health,Hyperplasia,Voiding Symptoms of Benign Prostatic Hyperplasia
Infectious Disease,Infections,Influenzavirus B Infections
Infectious Disease,Malaria,Cerebral Malaria
Oncology,Cancer,Muscle Invasive Bladder Cancer
Oncology,Cancer,Transitional Cell Cancer
Oncology,Carcinomas,Gastroesophageal Junction Carcinomas
Oncology,Cancer,Small-Cell Lung Cancer
Oncology,Cancer,Nasopharyngeal Cancer
Oncology,Carcinoma,Metastatic Hepatocellular Carcinoma
Oncology,Lymphomas,Unspecified B-Cell Lymphomas
Oncology,Tumor,Gastrointestinal Carcinoid Tumor
Oncology,Lymphoma,Non-Hodgkin Lymphoma
Oncology,Tumors,Germinomatous Germ Cell Tumors
Oncology,Cancer,Anaplastic Thyroid Cancer
Oncology,Glioma,High-Grade Glioma
Oncology,Lymphoma,Angioimmunoblastic T-Cell Lymphoma
Oncology,Lymphoma,Extranodal Marginal Zone B-Cell Lymphoma
Oncology,Cancer,Metastatic Biliary Tract Cancer
Oncology,Adenocarcinoma,Lung Adenocarcinoma
Nutritional Disorders,Disease,Hyperphosphatemia In Chronic Kidney Disease
Nutritional Disorders,Deficiency,Thiamine Deficiency
Nutritional Disorders,Rickets,X-Linked Hypophosphatemic Rickets
Oncology,Leukemia,Refractory Acute Myeloid Leukemia
Nutritional Disorders,Disorders,Vitamin D Deficiency Disorders
Oncology,Leukemia,Meningeal Leukemia
Oncology,Cancer,Skin Cancer
Oncology,Bone,Angiosarcoma Of Bone
Oncology,Tumor,Hepatic Tumor
Oncology,Astrocytoma,Subependymal Giant Cell Astrocytoma
Nutritional Disorders,Deficiency,Vitamin B Deficiency
Oncology,Mesothelioma,Malignant Mesothelioma
Nutritional Disorders,Deficiency,Hypocobalaminemia Deficiency
Oncology,Tumor,Bone Tumor
Oncology,Cancer,Penile Cancer
Oncology,Cancer,Squamous Non-Small Cell Lung Cancer
Oncology,Leukemia,T-Cell Acute Lymphocytic Leukemia
Nutritional Disorders,Deficiency,Mineral Deficiency
Oncology,Tumors,Germ Cell Tumors
Oncology,Tumor,Tenosynovial Giant Cell Tumor
Oncology,Metastasis,Osteolytic Bone Metastasis
Oncology,Carcinoma,Recurrent Head And Neck Cancer Squamous Cell Carcinoma
Oncology,Cancer,Metastatic Bile Duct Cancer
Oncology,Lymphoma,Primary CNS Lymphoma
Oncology,Carcinoma,Esophageal Squamous Cell Carcinoma
Oncology,Cancer,Uterine Cancer
Oncology,Adenocarcinoma,Pancreatic Ductal Adenocarcinoma
Oncology,Glioma,Pediatric Diffuse Intrinsic Pontine Glioma
Oncology,Malignancy,Advanced Malignancy
Oncology,Cancer,Papillary Thyroid Cancer
Oncology,Cancer,Hypopharyngeal Cancer
Oncology,Cancer,Gastrointestinal Tract Cancer
Oncology,Carcinoma,Head And Neck Carcinoma
Oncology,Glioma,Recurrent Malignant Glioma
Oncology,Cancer,Adrenal Gland Cancer
Oncology,Malignancy,Nonhematologic Malignancy
Oncology,Carcinoma,Adenoid Cystic Carcinoma
Oncology,Sarcoma,Synovial Sarcoma
Oncology,Leukemia,T-Cell Leukemia
Oncology,Cancer,Metastatic Cancer
Oncology,Tumor,Colorectal Tumor
Oncology,Cancer,Metastatic Liver Cancer
Infectious Disease,Infections,Neisseria meningitidis Infections
Infectious Disease,Infections,Haemophilus influenzae Type B Infections
Infectious Disease,Gonorrhea,Uncomplicated Cervical And Urethral Gonorrhea
Infectious Disease,Infections,Complicated Intra-Abdominal Infections
Infectious Disease,Infections,Surgical Wound Infections
Infectious Disease,Fever,Typhoid Fever
Infectious Disease,Disease,Lyme Disease
Infectious Disease,Infections,Helicobacter pylori Infections
Infectious Disease,Infections,Haemophilus influenzae Infections
Infectious Disease,Pneumonia,Pneumocystis carinii Pneumonia
Infectious Disease,Urethritis,Nongonococcal Urethritis
Infectious Disease,Infections,Escherichia coli Infections
Infectious Disease,Infections,Methicillin-Resistant Staphylococcus aureus Infections
Infectious Disease,Bacteriuria,Asymptomatic Bacteriuria
Infectious Disease,Infections,Methicillin-Susceptible Staphylococcus aureus Infections
Infectious Disease,Infections,Mycobacterium avium-Intracellulare Infections
Infectious Disease,Abscess,Dental Abscess
Infectious Disease,Disease,Pelvic Inflammatory Disease
Infectious Disease,Infections,Bacillus anthracis Infections
Infectious Disease,Infections,Entamoeba Infections
Infectious Disease,Infections,Staphylococcal Infections
Infectious Disease,Infections,Gram-Positive Bacterial Infections
Infectious Disease,Infections,Opportunistic Infections
Infectious Disease,Infections,Vancomycin-Resistant Staphylococcus aureus Infections
Infectious Disease,Infections,Mycobacterium avium Infections
Infectious Disease,Infections,Enterobacteriaceae Infections
Infectious Disease,Infections,Resistant Pseudomonas aeruginosa Infections
Infectious Disease,Pneumonia,Chlamydia trachomatis Pneumonia
Infectious Disease,Infections,Mycobacterium tuberculosis Infections
Infectious Disease,Infection,Puerperal Infection
Infectious Disease,Infections,Gram-Negative Bacterial Infections
Infectious Disease,Infections,Acinetobacter Infections
Infectious Disease,Infections,Staphylococcus aureus Infections
Respiratory,Infection,Chronic Lung Infection
Respiratory,Effusion,Pleural Effusion
Toxicology,Vomiting,Radiation Induced Nausea and Vomiting
Toxicology,Poisoning,Food Poisoning
Respiratory,Sickness,Altitude Sickness
Toxicology,Poisoning,Organophosphate and Carbamate Poisoning
Respiratory,Syndrome,Loeffler Syndrome
Respiratory,Dysplasia,Bronchopulmonary Dysplasia
Respiratory,Asthma,Chronic Asthma
Women's Health,Syndrome,Polycystic Ovarian Syndrome
Women's Health,Dysfunction,Ovulatory Dysfunction
Women's Health,Disease,Ovarian Disease
Women's Health,Atrophy,Postmenopausal Vaginal Atrophy
Women's Health,Infections,Gynecological Infections
Women's Health,Hyperplasia,Endometrial Hyperplasia
Women's Health,Syndrome,Ovarian Hyperstimulation Syndrome
Women's Health,Amenorrhea,Secondary Amenorrhea
Women's Health,Disorders,Menstrual Disorders
Central Nervous System,Disorder,Generalized Anxiety Disorder
Central Nervous System,Disorder,Attention Deficit Hyperactivity Disorder
Central Nervous System,Disorder,Major Depressive Disorder
Central Nervous System,Seizure,Absence Seizure
Central Nervous System,Syndrome,Alcohol Withdrawal Syndrome
Central Nervous System,Pain,Back Pain
Central Nervous System,Nervosa,Anorexia Nervosa
Central Nervous System,Disorder,Disruptive Behavior Disorder
Central Nervous System,Addiction,Alcohol Addiction
Central Nervous System,Disorder,Acute Stress Disorder
Central Nervous System,Spasticity,Muscle Spasticity
Central Nervous System,Nervosa,Bulimia Nervosa
Central Nervous System,Injury,Traumatic Brain Injury
Central Nervous System,Disorder,Binge Eating Disorder
Central Nervous System,Addiction,Nicotine Addiction
Central Nervous System,Disorders,Psychiatric Disorders
Central Nervous System,Disorder,Obsessive-Compulsive Disorder
Central Nervous System,Disorders,Appetite Disorders
Central Nervous System,Seizure,Complex Partial Seizure
Central Nervous System,Disorder,Schizoaffective Disorder
Immunology,Polyangiitis,Granulomatosis with Polyangiitis
Hematological Disorders,Purpura,Idiopathic Thrombocytopenic Purpura
Immunology,Syndrome,Mucocutaneous Lymph Node Syndrome
Hematological Disorders,Neutropenia,Febrile Neutropenia
Immunology,Syndrome,Cytokine Release Syndrome
Hormonal Disorders,Hyperparathyroidism,Secondary Hyperparathyroidism
Immunology,Rejection,Bone Marrow Transplant Rejection
Hematological Disorders,Syndrome,Hypereosinophilic Syndrome
Hematological Disorders,Disease,Alexander's Disease
Hematological Disorders,Anemia,Aplastic Anemia
Immunology,Syndrome,Churg-Strauss Syndrome
Immunology,Rejection,Heart Transplant Rejection
Immunology,Erythematosus,Systemic Lupus Erythematosus
Immunology,Syndrome,Tumor Necrosis Factor Receptor-Associated Periodic Syndrome
Hormonal Disorders,Hyperplasia,Congenital Adrenal Hyperplasia
Hematological Disorders,Anemia,Acquired Hemolytic Anemia
Immunology,Arthritis,Juvenile Rheumatoid Arthritis
Hematological Disorders,Anemia,Megaloblastic Anemia
Immunology,Disease,Graft Versus Host Disease
Hematological Disorders,Coagulation,Disseminated Intravascular Coagulation
Immunology,Transplantation,Hematopoietic Stem Cell Transplantation
Immunology,Allergy,Pollen Allergy
Hormonal Disorders,Disorders,Growth Disorders
Immunology,Rejection,Kidney Transplant Rejection
Immunology,Allergy,Cedar Pollen Allergy
Hematological Disorders,Thrombocytopenia,Heparin-Induced Thrombocytopenia
Immunology,Syndrome,Sicca Syndrome
Hormonal Disorders,Disease,Addison's Disease
Hematological Disorders,Disorders,Bleeding And Clotting Disorders
Hormonal Disorders,Disorders,Adrenal Gland Disorders
Hormonal Disorders,Hyperaldosteronism,Primary Hyperaldosteronism
Immunology,Erythematosus,Acute Cutaneous Lupus Erythematosus
Hematological Disorders,Coagulation,Blood Coagulation
Immunology,Erythematosus,Lupus Erythematosus
Immunology,Deficiencies,Secondary Humoral Immune Deficiencies
Hematological Disorders,Purpura,Thrombotic Thrombocytopenic Purpura
Immunology,Erythematosus,Cutaneous Lupus Erythematosus
Hormonal Disorders,Thyroiditis,Subacture Thyroiditis
Hematological Disorders,Deficiency,Fibrin Stabilizing Factor Deficiency
Dermatology,Dermatitis,Hand Dermatitis
Cardiovascular,Thrombosis,Deep Vein Thrombosis
Cardiovascular,Syndrome,Acute Coronary Syndrome
Cardiovascular,Disease,Thromboembolic Disease
Cardiovascular,Angina,Unstable Angina
Cardiovascular,Angina,Chronic Stable Angina
Cardiovascular,Angina,Stable Angina
Cardiovascular,Ulcers,Digital Ulcers
Cardiovascular,Infarction,Post-Myocardial Infarction
Cardiovascular,Disease,Coronary Artery Disease
Cardiovascular,Disease,Behcet Disease
Cardiovascular,Disease,Acute Rheumatic Heart Disease
Cardiovascular,Thrombosis,Arterial Thrombosis
Cardiovascular,Arteritis,Giant Cell Arteritis
Cardiovascular,Hypotension,Orthostatic Hypotension
Cardiovascular,Disease,Coronary Disease
Cardiovascular,Thromboembolism,Venous Thromboembolism
Cardiovascular,Disease,Chronic Coronary Artery Disease
Cardiovascular,Shock,Anaphylactic Shock
Cardiovascular,Tachycardia,Paroxysmal Ventricular Tachycardia
Cardiovascular,Shock,Cardiogenic Shock
Cardiovascular,Shock,Hemorrhagic Shock
Cardiovascular,Disease,Peripheral Arterial Disease
Cardiovascular,Tachycardia,Supraventricular Tachycardia
Cardiovascular,Infarction,Cerebral Infarction
Cardiovascular,Fistula,Arteriovenous Fistula
Cardiovascular,Hypertension,Idiopathic Hypertension
Cardiovascular,Arteriosclerosis,Coronary Arteriosclerosis
Cardiovascular,Thrombosis,Coronary Thrombosis
Cardiovascular,Hemorrhage,Subarachnoid Hemorrhage
Cardiovascular,Thromboembolism,Arterial Thromboembolism
Cardiovascular,Dysfunction,Left Ventricular Dysfunction
Cardiovascular,Thrombosis,Venous Thrombosis
Central Nervous System,Disease,Batten Disease
Central Nervous System,Syndrome,Guillain-Barre Syndrome
Central Nervous System,Disorders,Sleep Disorders
Central Nervous System,Sedation,Benzodiazepine Sedation
Central Nervous System,Pain,Arthritis Pain
Central Nervous System,Spasticity,Lower Limb Muscle Spasticity
Central Nervous System,Pain,Low Back Pain
Central Nervous System,Pain,Dental Pain
Central Nervous System,Pain,Abdominal Pain
Central Nervous System,Neuralgia,Postherpetic Neuralgia
Central Nervous System,Pain,Ocular Pain
Central Nervous System,Syndrome,Lennox-Gastaut Syndrome
Central Nervous System,Seizures,Generalized Seizures
Central Nervous System,Tremor,Essential Tremor
Central Nervous System,Pain,Inflammatory Pain
Central Nervous System,Headache,Tension -Type Headache
Central Nervous System,Pain,Musculoskeletal Pain
Central Nervous System,Pain,Traumatic Pain
Central Nervous System,Pain,Neck Pain
Central Nervous System,Syndrome,Complex Regional Pain Syndrome
Central Nervous System,Pain,Bladder Pain
Central Nervous System,Pain,Rheumatoid Arthritis Pain
Central Nervous System,Migraine,Basilar Migraine
Central Nervous System,Mastalgia,Cyclical Mastalgia
Central Nervous System,Syndrome,Cluster Headache Syndrome
Infectious Disease,Diarrhea,HIV Associated Diarrhea
Infectious Disease,Infections,Human Papillomavirus Infections
Infectious Disease,Disease,Chagas Disease
Infectious Disease,pneumoniae,Skin and Skin Structure Infections by Streptococcus pneumoniae
Musculoskeletal Disorders,Spondylitis,Ankylosing Spondylitis
Metabolic Disorders,Edema,Diabetic Macular Edema
Musculoskeletal Disorders,Arthritis,Psoriatic Arthritis
Musculoskeletal Disorders,Arthritis,Polyarticular Juvenile Idiopathic Arthritis
Metabolic Disorders,Osteoporosis,Post Menopausal Osteoporosis
Metabolic Disorders,Osteoporosis,Glucocorticoid-Induced Osteoporosis
Metabolic Disorders,Hypercholesterolemia,Familial Hypercholesterolemia
Metabolic Disorders,Disease,Pompe Disease
Metabolic Disorders,Nephropathy,Diabetic Nephropathy
Musculoskeletal Disorders,Arthritis,Gouty Arthritis
Metabolic Disorders,Infection,Diabetic Foot Infection
Musculoskeletal Disorders,Spasm,Hemifacial Spasm
Musculoskeletal Disorders,Arthritis,Septic Arthritis
Nutritional Disorders,Rickets,Vitamin D Dependent Rickets
Musculoskeletal Disorders,Bone,Paget Disease of Bone
Mouth and Dental Disorders,Ulcers,Aphthous Ulcers
Mouth and Dental Disorders,Sores,Mouth Sores
Mouth and Dental Disorders,Ulcers,Mouth Ulcers
Metabolic Disorders,Hypercholesterolemia,Homozygous Familial Hypercholesterolemia
Musculoskeletal Disorders,Spasm,Muscle Spasm
Musculoskeletal Disorders,Fracture,Bone Fracture
Metabolic Disorders,Insipidus,Diabetes Insipidus
Mouth and Dental Disorders,Plaque,Dental Plaque
Musculoskeletal Disorders,Disorders,Rheumatic Disorders
Metabolic Disorders,Ulcers,Diabetic Neuropathic Foot Ulcers
Musculoskeletal Disorders,Arthritis,Systemic-Onset Juvenile Idiopathic Arthritis
Metabolic Disorders,Insipidus,Neurogenic Diabetes Insipidus
Musculoskeletal Disorders,Dystrophy,Myotonic Dystrophy
Nutritional Disorders,Deficiency,Nyctalopia due to Vitamin A Deficiency
Gastrointestinal,Injury,Hepatic Injury
Gastrointestinal,Gastroparesis,Diabetic Gastroparesis
Gastrointestinal,Diarrhea,Traveler's Diarrhea
Gastrointestinal,Hemorrhage,Esophageal Hemorrhage
Genetic Disorders,Disease,Letterer-Siwe Disease
Gastrointestinal,Disease,Anorectal Disease
Gastrointestinal,Ileus,Paralytic Ileus
Central Nervous System,Disorders,Cognitive Disorders
Central Nervous System,Disorders,Panic Disorders
Central Nervous System,Syndrome,Opium Withdrawal Syndrome
Central Nervous System,Disorder,Conduct Disorder
Central Nervous System,Stenosis,Lumbar Stenosis
Central Nervous System,Paralysis,Spastic Paralysis
Central Nervous System,Disorders,Spinal Cord Disorders
Central Nervous System,Addiction,Drug Addiction
Central Nervous System,Injury,Spinal Cord Injury
Hematological Disorders,Hemophilia,Acquired Hemophilia
Immunology,Edema,Angioneurotic Edema
Immunology,Rejection,Liver Transplant Rejection
Immunology,Syndrome,Lambert-Eaton Myasthenic Syndrome
Hematological Disorders,Anemia,Vitamin Deficiency Anemia
Hormonal Disorders,Hyperparathyroidism,Primary Hyperparathyroidism
Immunology,Allergy,Food Allergy
Immunology,Allergy,Ragweed Pollen Allergy
Hematological Disorders,Disease,Von Willebrand Disease
Immunology,Hyperplasia,Giant Lymph Node Hyperplasia
Immunology,Allergy,Insect Allergy
Hormonal Disorders,Hyperaldosteronism,Secondary Hyperaldosteronism
Hematological Disorders,Deficiency,Stuart Prower Factor Deficiency
Immunology,Syndrome,Wiskott-Aldrich Syndrome
Immunology,Arthritis,Polyarticular Arthritis
Immunology,Disease,Auto Inflammatory Disease
Hormonal Disorders,Hirsutism,Facial Hirsutism
Immunology,Disorders,Autoimmune Disorders
Immunology,Rejection,Corneal Graft Rejection
Gastrointestinal,Cholangitis,Primary Biliary Cholangitis
Gastrointestinal,Colitis,Collagenous Colitis
Gastrointestinal,Mucositis,Oral Mucositis
Gastrointestinal,Colitis,Pseudomembranous Colitis
Gastrointestinal,Disease,Inflammatory Bowel Disease
Gastrointestinal,Hepatitis,Alcoholic Hepatitis
Gastrointestinal,Disease,Hepatobiliary Disease
Gastrointestinal,Infection,Intestinal Infection
Gastrointestinal,Fistula,Pancreatic Fistula
Genito Urinary System And Sex Hormones,Disease,Growth Failure In Children With Kidney Disease
Hematological Disorders,Anemia,Congenital Hypoplastic Anemia
Oncology,Syndrome,Carcinoid Syndrome
Ophthalmology,Conjunctivitis,Giant Papillary Conjunctivitis
Oncology,Cancer,Urinary Tract Cancer
Oncology,Tumors,Neuroendocrine Tumors
Oncology,Sarcoma,Bone Sarcoma
Cardiovascular,Shock,Obstructive Shock
Hormonal Disorders,Thyroiditis,Hashimoto Thyroiditis
Immunology,Plaque,Septicaemic Plaque
Immunology,Rejection,Transplant Rejection
Immunology,Vulgaris,Pemphigus Vulgaris
Hormonal Disorders,Disorders,Thyroid Gland Disorders
Immunology,Arthritis,Reactive Arthritis
Hormonal Disorders,Syndrome,Inappropriate ADH Syndrome
Immunology,Inflammation,Acute Inflammation
Immunology,Inflammation,Chronic Inflammation
Central Nervous System,Palsy,Cerebral Palsy
Central Nervous System,Sclerosis,Primary Progressive Multiple Sclerosis
Central Nervous System,Sclerosis,Progressive Relapsing Multiple Sclerosis
Central Nervous System,Atrophy,Spinal Muscular Atrophy
Central Nervous System,Sclerosis,Relapsing Multiple Sclerosis
Central Nervous System,Seizure,Myoclonic Seizure
Central Nervous System,Edema,Cerebral Edema
Central Nervous System,Torticollis,Spasmodic Torticollis
Central Nervous System,Disease,Dementia Associated With Alzheimer's Disease
Central Nervous System,Pain,Anal Fissure Pain
Central Nervous System,Syndrome,Restless Legs Syndrome
Central Nervous System,Spasm,Infantile Spasm
Central Nervous System,Epilepsy,Childhood Epilepsy
Central Nervous System,Disorders,Neuro Muscular Disorders
Central Nervous System,Symptoms,Extrapyramidal Symptoms
Central Nervous System,Polyneuropathy,Chronic Inflammatory Demyelinating Polyneuropathy
Central Nervous System,Pain,Tendon and Ligament Pain
Central Nervous System,Symptoms,Vasomotor Symptoms
Central Nervous System,Seizure,Atonic Seizure
Central Nervous System,Syndrome,Dravet Syndrome
Ophthalmology,Occlusion,Branch Retinal Vein Occlusion
Ophthalmology,Neuropathy,Leber's Hereditary Optic Neuropathy
Ophthalmology,Conjunctivitis,Non-Infectious Conjunctivitis
Ophthalmology,Deficiency,Limbal Stem Cell Deficiency
Ophthalmology,Degeneration,Wet Macular Degeneration
Ophthalmology,Ulcer,Corneal Ulcer
Ophthalmology,Defects,Persistent Corneal Epithelial Defects
Infectious Disease,Encephalitis,Tick Borne Encephalitis
Infectious Disease,Infections,Complicated Skin And Skin Structure Infections
Infectious Disease,Diseases,Parasitic Skin Diseases
Infectious Disease,Encephalitis,Equine Encephalitis
Infectious Disease,Infections,Herpesviridae Infections
Infectious Disease,Echinococcosis,Alveolar Echinococcosis
Infectious Disease,Trypanosomiasis,African Trypanosomiasis
