Congress,TA,Indication,Top,Country,City,StartDate,EndDate,Cost,GoogleHits,USEU
"Internal Medicine for Primary Care: Addiction/Derm/Pulm (Nov 13 - 15, 2020)",Internal Medicine,Addiction,0,United States Of America,"New York City, New York",13-11-2020,15-11-2020,-,1050000,1
"Internal Medicine for Primary Care: Addiction/Gastro/Pulm/Rheum (Sep 07 - 10, 2020)",Internal Medicine,Addiction,0,Italy,"Sorrento, Campania",07-09-2020,10-09-2020,1095,125000,1
"Internal Medicine for Primary Care: Addiction/Neuro/OB/Rheum (Mar 22 - 26, 2020)",Internal Medicine,Addiction,0,United States of America,"Wailea, Hawaii",22-03-2020,26-03-2020,1195,450000,1
"Internal Medicine for Primary Care: Addiction/Pain/Palliative (Dec 28 - 30, 2020)",Internal Medicine,"Addiction,Pain",0,United States of America,"Las Vegas, Nevada",28-12-2020,30-12-2020,795,616000,1
"Internal Medicine for Primary Care: Allergy & Immuno/Derm/Neuro/Ophth (Jul 06 - 09, 2020)",Internal Medicine,NA,0,Hungary,"Budapest, Budapest",06-07-2020,09-07-2020,1095,6.10E+07,1
"Internal Medicine for Primary Care: Bariatrics/Cardio/Nephro/Pain - Washington (Aug 06 - 09, 2020)",Internal Medicine,Pain,0,United States of America,"Washington, Dist of Col",06-08-2020,09-08-2020,1095,272000,1
"Internal Medicine for Primary Care: Bariatrics/Cardio/Neuro/Onc (Dec 03 - 06, 2020)",Internal Medicine,NA,0,Bahamas,"Nassau, New Providence",03-12-2020,06-12-2020,995,71400,0
Internal Medicine for Primary Care: Bariatrics/Derm/Endo 2020,Dermatology,NA,0,United States of America,"Las Vegas, Nevada",21-02-2020,23-02-2020,-,238000,1
"Internal Medicine for Primary Care: Bariatrics/Derm/Ortho/Pulm (Apr 19 - 23, 2020)",Internal Medicine,NA,0,United States of America,"Maui, Hawaii",19-04-2020,23-04-2020,1195,340000,1
"Internal Medicine for Primary Care: Bariatrics/Emergency Med/Endo/Ortho (Jun 01 - 04, 2020)",Internal Medicine,NA,0,Canada,"Lake louise, Alberta",01-06-2020,04-06-2020,995,56300,0
"Internal Medicine for Primary Care: Cardio/ENT/OB/Psych - San Diego (Aug 06 - 09, 2020)",Internal Medicine,NA,0,United States Of America,"San Diego, California",06-08-2020,09-08-2020,1095,492000,1
"Internal Medicine for Primary Care: Cardio/Gastro/Neck & Spine (Oct 30 - Nov 01, 2020)",Cardiology,NA,0,United States of America,"Key West, Florida",30-10-2020,01-11-2020,895,35900000,1
"Internal Medicine for Primary Care: Cardio/Geri/Neck & Spine/Psych (Oct 12 - 15, 2020)",Internal Medicine,NA,0,Spain,"Barcelona, Barcelona",12-10-2020,15-10-2020,1095,368000,1
"Internal Medicine for Primary Care: Cardio/ID/Ophth/Psych (Nov 08 - 12, 2020)",Internal Medicine,NA,0,United States of America,"Maui, Hawaii",08-11-2020,12-11-2020,-,1060000,1
Internal Medicine for Primary Care: Cardio/Neuro/Psych/Vasc,Cardiology,NA,0,New Zealand,"Queenstown , Otago",11-02-2020,12-02-2020,-,9820000,0
"Internal Medicine for Primary Care: Cardio/Neuro/Vasc (Jun 12 - 14, 2020)",Internal Medicine,NA,0,United States of America,"Santa Barbara, California",12-06-2020,14-06-2020,995,1120000,1
"Internal Medicine for Primary Care: Cardio/Ophth/Rheum Conference (Mar 06 - 08, 2020)",Rheumatology,NA,0,United States Of America,"Las Vegas, Nevada",06-03-2020,08-03-2020,895,414000,1
"Internal Medicine for Primary Care: Cardio/Pod/Pulm (Jun 05 ‚ÄövÑv¨ 07, 2020)",Internal Medicine,NA,0,United States of America,"Bay Lake, Florida",05-06-2020,07-06-2020,695,5,1
"Internal Medicine for Primary Care: Derm/Endo/Gastro/Ortho (Aug 10 - 13, 2020)",Internal Medicine,NA,0,United Kingdom,"London, England",10-08-2020,13-08-2020,1095,104000,1
"Internal Medicine for Primary Care: Derm/ENT/Geri/Gyn (Jun 14 - 18, 2020)",Internal Medicine,NA,0,United States of America,"Kapolei, Hawaii",14-06-2020,18-06-2020,1195,87400,1
"Internal Medicine for Primary Care: Derm/ENT/Rheum ( Oct 09 - 11, 2020)",Internal Medicine,NA,0,United States Of America,"Estes Park, Colorado",09-10-2020,11-10-2020,895,68900,1
"Internal Medicine for Primary Care: Derm/ENT/Rheum (Dec 11 - 13, 2020)",Internal Medicine,NA,0,United States Of America,"New York City, New York",11-12-2020,13-12-2020,895,71500,1
"Internal Medicine for Primary Care: Derm/Gastro/ID Conference (Mar 06 - 08, 2020)",Internal Medicine,NA,0,United States of America,"San Diego, California",06-03-2020,08-03-2020,895,9,1
"Internal Medicine for Primary Care: Derm/Gastro/Psych (Oct 02 - 04, 2020)",Internal Medicine,NA,0,United States of America,"Las Vegas, Nevada",02-10-2020,04-10-2020,895,112000,1
"Internal Medicine for Primary Care: Derm/Gastro/Pulm (Jun 12-14, 2020)",Internal Medicine,NA,0,United States Of America,"Sedona, Arizona",12-06-2020,14-06-2020,895,22300,1
"Internal Medicine for Primary Care: Derm/Neuro/Palliative (Sep 11 - 13, 2020)",Dermatology,NA,0,United States Of America,"Harwich, Massachusetts",11-09-2020,13-09-2020,895,182000,1
"Internal Medicine for Primary Care: Derm/Neuro/Rheum (Aug 28 - 30, 2020)",Internal Medicine,NA,0,Canada,"Victoria, British Columbia",28-08-2020,30-08-2020,895,85300,0
"Internal Medicine for Primary Care: Endo/Geri/Ortho/Pain (Oct 04 - 08, 2020)",Internal Medicine,Pain,0,United States Of America,"Koloa, Hawaii",04-10-2020,08-10-2020,1195,48900,1
"Internal Medicine for Primary Care: Endo/Geri/Pod (Nov 06 - 08, 2020)",Internal Medicine,NA,0,United States of America,"Orlando, Florida",06-11-2020,08-11-2020,-,63000,1
"Internal Medicine for Primary Care: Endo/Gyn/ID/Psych (Oct 22 - 25, 2020)",Internal Medicine,NA,0,United States Of America,"Anaheim, California",22-10-2020,25-10-2020,1095,316000,1
"Internal Medicine for Primary Care: Endo/Gyn/Neuro/Ortho (Nov 12 - 15, 2020)",Internal Medicine,NA,0,Netherlands,"Palm Beach, Aruba",12-11-2020,15-11-2020,-,434000,1
"Internal Medicine for Primary Care: Endo/ID/Neck & Spine/Psych (Jul 12 - 16, 2020)",Internal Medicine,NA,0,United States of America,"Maui, Hawaii",12-07-2020,16-07-2020,1195,3450000,1
"Internal Medicine for Primary Care: Endo/ID/Nephro (Oct 02 - 04, 2020)",Internal Medicine,NA,0,United States Of America,"New York, New York",02-10-2020,04-10-2020,895,157000,1
"Internal Medicine for Primary Care: Endo/ID/Pulm/Sports Med (Jul 06 - 09, 2020)",Internal Medicine,NA,0,United States of America,"Anchorage, Alaska",06-07-2020,09-07-2020,1095,567000,1
"Internal Medicine for Primary Care: Endo/Men's Uro/Neuro/Rheum (Jun 11 - 14, 2020)",Internal Medicine,NA,0,United States Of America,"Anaheim, California",11-06-2020,14-06-2020,995,79200,1
"Internal Medicine for Primary Care: Endo/OB/Rheum/Vasc (May 21 - 24, 2020)",Internal Medicine,NA,0,Bahamas,"Nassau, New Providence",21-05-2020,24-05-2020,1095,234000,0
Internal Medicine for Primary Care: Endo/Pulm/Vasc - Half Moon Bay,Internal Medicine,NA,0,United States of America,"Half Moon Bay, California",14-08-2020,16-08-2020,895,377000,1
Internal Medicine for Primary Care: ENT/Gastro/Geri/Pulm,Gastrointestinal,NA,0,United States Of America,"Orlando, Florida",06-02-2020,09-02-2020,-,262000,1
Internal Medicine for Primary Care: Gastro/Geri/Neuro/Rheum 2020,Internal Medicine,NA,0,United States of America,"Hilton Head Island, South Carolina",16-04-2020,19-04-2020,1095,63100,1
Internal Medicine for Primary Care: Gastro/ID/Onc/Rheum,Oncology,NA,0,United States of America,"Wailea, Hawaii",19-01-2020,23-01-2020,-,25200,1
"Internal Medicine for Primary Care: Geri/ID/Neuro/Ophth (Dec 10 - 13, 2020)",Internal Medicine,NA,0,Cayman Islands,"Grand Cayman, Grand Cayman",10-12-2020,13-12-2020,995,77800,0
"Internal Medicine for Primary Care: Geri/ID/Neuro/Pulm (May 24 - 28, 2020)",Internal Medicine,NA,0,United States of America,"Kauai, Hawaii",24-05-2020,28-05-2020,1195,148000,1
"Internal Medicine for Primary Care: ID/Men's Uro/Onc/Psych (Aug 06 - 09, 2020)",Internal Medicine,NA,0,Canada,"Banff, Alberta",06-08-2020,09-08-2020,1095,440000,0
"Internal Medicine for Primary Care: ID/Men's Uro/Onc/Psych Conference (Mar 08 - 12, 2020)",Genito Urinary System And Sex Hormones,NA,0,United States of America,"Orlando, Florida",08-03-2020,12-03-2020,1195,9,1
"Internal Medicine for Primary Care: ID/Neuro/Neck & Spine/Rheum (Dec 27 - 31, 2020)",Internal Medicine,NA,0,United States of America,"Orlando, Florida",27-12-2020,31-12-2020,1095,23200000,1
"Internal Medicine for Primary Care: ID/Onc/Pain/Psych (Jun 08 - 11, 2020)",Internal Medicine,Pain,0,France,"Paris, Ile-de-France",08-06-2020,11-06-2020,1395,2550000,1
Internal Medicine Pathways to MOC 2020,Internal Medicine,NA,0,United States Of America,"Napa, California",16-03-2020,18-03-2020,1075,132000,1
"Internal Medicine Refresher Course (Jan 29, 2020 - Feb 01, 2020)",Internal Medicine,NA,0,Germany,"Berlin, Berlin",29-01-2020,01-02-2020,-,435000,1
"Internal Medicine Review for Nurse Practitioners, Physician Assistants & Primary Care Physicians Course 2020",Internal Medicine,NA,0,United States Of America,"Rochester, Minnesota",09-09-2020,11-09-2020,-,44400000,1
Internal Medicine Society of Australia and New Zealand (IMSANZ) 2020 NZ Autumn Meeting,Internal Medicine,NA,0,New Zealand,"Christchurch, Canterbury",26-02-2020,28-02-2020,-,113,0
"Internal Medicine Update for Primary Care (Jul 24 - 26, 2020)",Internal Medicine,NA,0,United States of America,"Anaheim, California",24-07-2020,26-07-2020,750,1.08E+08,1
Internal Medicine Update for Primary Care 2020,Internal Medicine,NA,0,United States of America,"Kahuku, Hawaii",20-03-2020,22-03-2020,-,56800000,1
"Internal Medicine, Emergency Medicine, and Geriatrics",Internal Medicine,NA,0,United States of America,"Port Canaveral, Florida",27-09-2020,04-10-2020,895,50200000,1
"Internal Medicine, Primary Care, and Ophthalmology",Internal Medicine,Ophthalmology,0,Italy,"Venice, Veneto",25-07-2020,01-08-2020,895,31700000,1
International Academy of Cardiology Annual Scientific Sessions 2020 - 24th World Congress on Heart Disease,Cardiology,NA,0,United States of America,"Boston, Massachusetts",24-07-2020,26-07-2020,-,2890000,1
International Association for the Study of Lung Cancer (IASLC) 2020 Targeted Therapies of Lung Cancer Meeting,Oncology,Lung Cancer,0,United States of America,"Santa Monica, California",19-02-2020,22-02-2020,-,12100,1
International Association for the Study of Lung Cancer (IASLC) 21st World Conference on Lung Cancer (WCLC),Oncology,Lung Cancer,0,Singapore,"Singapore, Singapore",09-08-2020,12-08-2020,-,13100,0
International Association of Cancer Registries (IACR) 2020,Oncology,NA,0,New Caledonia,"Noumea, Noumea",12-10-2020,15-10-2020,-,137000,1
International Collaboration for Research Methods Development in Oncology (CReDO) Workshop 2020,Oncology,NA,0,India,"Mumbai, Maharashtra",02-03-2020,07-03-2020,-,203000,0
International Conference on Advances in Hematology and Oncology,Hematology,NA,0,United States,Seattle,27-06-2020,28-06-2020,-,1240000,1
International Conference on Advances in Hematology and Oncology,Oncology,NA,0,United States,Seattle,27-06-2020,28-06-2020,-,1240000,1
International Conference on Bone and Musculoskeletal Disorders,Musculoskeletal Disorders,Musculoskeletal Disorders,0,NA,NA,NA,NA,-,2640000,0
International Conference on Dementia and Alzheimer Rehabilitation 2020,Neurology,Dementia,0,United Kingdom,"London, England",22-06-2020,23-06-2020,599,480000,1
International Conference on Dermatology & Cosmetology 2020,Dermatology,Dermatology,0,Italy,"Venice, Veneto",14-05-2020,15-05-2020,-,1.50E+07,1
International Conference on Endocrinology and Diabetology,Metabolic Disorders,NA,0,NA,NA,NA,NA,-,231000,0
International Conference on Eye and Vision,Ophthalmology,NA,0,NA,NA,NA,NA,-,1.25E+08,0
International Conference on Gastroenterology and Hepatology (ICGH2020),Gastrointestinal,NA,0,United Kingdom,"London, England",25-03-2020,26-03-2020,-,4720,1
International Conference on Genetic Disorders and Gene Therapy,Genetic Disorders,Genetic Disorders,0,Japan,Osaka,18-05-2020,19-05-2020,-,31800000,0
International Conference on IACS-India section meeting,Cardiology,NA,0,India,"New Delhi, Delhi",21-02-2020,23-02-2020,-,141000,0
International Conference on Infectious Diseases and Clinical Microbiology,Infectious Disease,NA,0,NA,NA,NA,NA,-,15400000,0
International Conference on Integrated Medical Science and Allied Health (ICIMSAH) 2020,Oncology,NA,0,Malaysia,"Kuala Lumpur, Selangor",10-04-2020,13-04-2020,-,26900,0
International Conference on Metabolic Syndrome,Metabolic Disorders,Metabolic Syndrome,0,NA,NA,NA,NA,-,17400000,0
International Conference on Neuro Science & Brain Disorders (NBD 2020),Neurology,NA,0,Spain,"Valencia, Valencia",18-06-2020,20-06-2020,629,69800000,1
International Conference on Neuro-Diagnosis and Therapeutics,Neurology,NA,0,Italy,"Rome, Lazio",04-05-2020,05-05-2020,-,18200000,1
International Conference on Neurology and Neuroscience 2020,Neurology,Neurology,0,Italy,"Rome, Lazio",04-03-2020,05-03-2020,-,1270000,1
International Conference on Oncology and Hematology,Hematology,NA,0,NA,NA,NA,NA,-,6970000,0
International Conference on Oncology and Hematology,Oncology,NA,0,NA,NA,NA,NA,-,6970000,0
International Conference on Surgical Cancer Care,Oncology,NA,0,United States,Boston,25-03-2020,28-03-2020,-,80500000,1
International Conference on Virology and Rare Diseases,Pathology,NA,1,Germany,"Berlin, Berlin",27-07-2020,28-07-2020,1449,544000,1
International Congress of Mucosal Immunology,Immunology,Immunology,0,NA,NA,NA,NA,-,265000,0
International Congress of Neuroimmunology (ISNI) - Nice 2020,Neurology,NA,0,France,"Nice, Provence Alpes Cote",02-11-2020,06-11-2020,-,1850,1
International Congress of Parkinson's Disease and Movement Disorders 2020,Neurology,"Parkinson's Disease,Movement Disorders",0,United States Of America,"Philadelphia, Pennsylvania",13-09-2020,17-09-2020,-,1570000,1
International Congress On Cardiology & Critical Care (ICCC 2020),Cardiology,NA,0,United Kingdom,"London, England",23-03-2020,24-03-2020,-,5970000,1
International Congress on Integrative Medicine & Health,Oncology,NA,0,United States,Cleveland,28-04-2020,01-05-2020,-,3730000,1
International Congress on Neuropathic Pain,Neurology,Neuropathic Pain,0,NA,NA,NA,NA,-,271000,0
International Congress on Oncology Research and Development (iCORD) 2020,Oncology,NA,0,India,"Mumbai, Maharashtra",10-10-2020,11-10-2020,-,12300,0
International Dementia Conference 2020,Neurology,Dementia,0,Australia,"Sydney, New South Wales",11-06-2020,12-06-2020,-,5950000,0
International Federation of Infection Control (IFIC) Congress 2020,Infectious Disease,NA,0,Serbia,"Belgrade, Central Serbia",11-03-2020,14-03-2020,-,39400,0
International Genetic Epidemiology Society (IGES) 2020,Genetic Disorders,NA,0,Hong Kong,"Sha Tin, sha Tin",01-07-2020,03-07-2020,-,54700,0
International Gynecologic Cancer Society (IGCS) Annual Global Meeting 2020,Oncology,NA,0,Italy,"Rome, Lazio",11-09-2020,13-09-2020,-,2370,1
International Neuropsychological Society (INS) 2020 Annual Meeting,Neurology,NA,0,United States of America,"Denver, Colorado",05-02-2020,08-02-2020,730,312000,1
International Neuropsychological Society (INS) Mid-Year Meeting 2020,Neurology,NA,0,Austria,"Vienna, Wien",01-07-2020,04-07-2020,-,122000,1
International Neurotrauma Symposium (INTS) 2020,Neurology,NA,0,Australia,"Melbourne, Victoria",29-03-2020,02-04-2020,1100,1020,0
International Organization For the Study of Inflammatory Bowel Disease (IOIBD) 2020,Gastrointestinal,Inflammatory Bowel Disease,0,China,"Hong Kong Island, Hong Kong",19-03-2020,22-03-2020,-,30200,0
International Pathogenic Neisseria Conference 2020,Infectious Disease,NA,0,South Africa,"Stellenbosch, Western Cape",06-09-2020,11-09-2020,-,140000,0
International Retinal Imaging Symposium (IntRIS 2020),Ophthalmology,NA,0,United States of America,"Los Angeles, California",13-03-2020,14-03-2020,-,1530000,1
International Society for Cell & Gene Therapy (ISCT) 2020 Annual Meeting,Genetic Disorders,NA,0,France,"Paris, Ile-de-France",27-05-2020,30-05-2020,-,2.35E+08,1
International Society for Experimental Hematology (ISEH) 49th Annual Scientific Meeting,Hematology,NA,0,United States of America,"New York City, New York",20-08-2020,23-08-2020,-,538,1
International Society for Laboratory Hematology (ISLH) 2020,Hematology,NA,0,Australia,"Melbourne, Victoria",21-05-2020,23-05-2020,-,1190,0
International Society for the Study of Hypertension in Pregnancy (ISSHP) 2020 Congress,Cardiology,"Hypertension,Pregnancy",0,Japan,"Nara, Nara",14-10-2020,17-10-2020,-,1540,0
International Society of Hematology (ISH) 2020 World Congress,Hematology,NA,0,Thailand,"Bangkok, Bangkok",13-09-2020,16-09-2020,-,43400,0
International Society of Intraoperative Neurophysiology (ISIN) Educational Course 2020,Neurology,NA,0,Japan,"Kyoto, Kansai",25-11-2020,27-11-2020,-,1030,0
International Society of Paediatric Oncology / Societe Internationale d‚ÄövÑv¥Oncologie Pediatrique (SIOP) Annual Meeting 2020,Oncology,NA,0,Canada,"Ottawa, Ontario",14-10-2020,17-10-2020,-,4,0
International Stroke Conference 2020,Neurology,Stroke,1,United States Of America,"Los Angeles, California",19-02-2020,21-02-2020,-,10400000,1
International Symposium of Hodgkin Lymphoma,Oncology,Hodgkin Lymphoma,0,NA,NA,NA,NA,-,378000,0
International Symposium on Diabetes by FLC Event,Metabolic Disorders,Diabetes,0,China,"Haikou, Hainan",20-01-2020,22-01-2020,-,10,0
International Symposium on Translational Research in Oncology,Oncology,NA,0,NA,NA,NA,NA,-,1080000,0
"International TAVI Congress, The Aortic Valve Meeting 2020",Cardiology,NA,0,United Kingdom,"Edinburgh, Scotland",28-02-2020,01-03-2020,-,43100,1
International Thyroid Cancer Survivors' Conference,Oncology,Thyroid Cancer,0,NA,NA,NA,NA,-,6610000,0
International Union against Sexually Transmitted Infections,Genito Urinary System And Sex Hormones,NA,0,NA,NA,NA,NA,-,2580000,0
International Urogynecological Association (IUGA) 45th Annual Meeting,Genito Urinary System And Sex Hormones,NA,0,Netherlands,"The Hague, Noord Holland",24-06-2020,27-06-2020,-,2510,1
International Vision Expo & Conference West 2020,Ophthalmology,NA,1,United States of America,"Las Vegas, Nevada",23-09-2020,26-09-2020,-,49100000,1
"Intervention in the NICU: A Neurodevelopmental Approach (Aug 15 - 16, 2020)",Neurology,NA,0,United States of America,"Jacksonville, Florida",15-08-2020,16-08-2020,435,234000,1
"Intervention in the NICU: A Neurodevelopmental Approach (Jan 31 - Feb 01, 2020)",Neurology,NA,0,United States of America,"New Brunswick, New Jersey",31-01-2020,01-02-2020,435,26400,1
